Station,Address,Phone,TDD/TTY,Captain III,Captain I
Central Community Police Station,"251 E. 6th St, Los Angeles, CA, 90014",213-485-3294,213-485-9819,Michael Oreb,John McMahon
Devonshire,"10250 Etiwanada Avence, Northridge, CA, 91325",818-832-0633,818-832-0565,Kris E Pitcher,Daryl M Russell
Foothill Community Police Station,"12760 Osborne St, Pacolma, Ca, 91331",818-756-8861,818-756-9034,Sean Malinowski,
Harbor Community Police Station,"2175 John S. Gibson Blvd, San Pedro, CA",310-726-7700,310-726-7706,Gerald Woodyward,Jennifer Thomas
Hollenbeck Community Police Station,"2111 E. 1st St, Los Angeles, CA, 90033",323-342-4100,323-224-0125,Martin A. Baeza,Gerardo Lopez
Hollywood Community Police Station,"1358 N. Wilcox Ave, Hollywood, CA, 90028",213-972-2971,213-485-9899,Peter A. Zarcone,Cory Palka
Mission Community Police Station,"11121 N. Sepulveda Blvd, Mission Hills, CA, 91345",818-838-9800,818-837-9858,Todd C. Chamberlain,Robert E. Marino
Newton Community Police Station,"3400 South Central Ave., Los Angeles, CA, 90011",323084606547,877-275-5273,Edward Prokop,David J. Kowalski
North Hollywood,"11640 Burbank Blvd, North Hollywood, CA, 91601",818-623-4016,818-756-9035,Stephen M. Carmona,Peter Whittingham
Northeast,"3353 San Fernando Rd, Los Angeles, CA, 90065",323-344-5701,213-485-6407,Jeffery Bert,
Oylmpic,"1130 S. Vermont St, Los Angeles, CA, 90006",213-382-9102,213-382-4365,Tina Nieto,Anthony Oddo
Pacific,"12312 Culver Blvd, Los Angeles, CA, 90066",310-482-6344,310-482-6419,Brian P. Johsnon,Victor Davalos
Rampart,"1401 W. 6th St, Los Angeles, CA, 90017",213-484-3400,213-484-3664,Brian Pratt,Arturo Sandoval
77th St,"7600 S. Broadway, Los Angeles, CA, 900003",213-485-4164,213-485-6409,Robert N. Arcos,Lillian L. Carranza
Southeast,"145 W. 108th St., Los Angeles, CA, 90061",213-972-7828,213-485-9934,Phillip Tingirides,Darryl Ito
Southwest,"1546 West Martin Luther King Jr Boulevard, Los Angeles, Ca, 90062",213-485-2582,213-485-1015,Paul Snell,Alfred Pasos
Topanga,"21501 Schoenborn St., Canoga Park, CA, 91304",818-756-4800,818-756-5988,Jorge Rodriguez,Charles P. Hearn
Van Nuys,"6240 Sylmar Ave, Van Nuys, CA, 91401",818-374-9500,818-785-6619,Ivan G. Minsal,Ernest Eskridge
West LA,"1663 Butler Ave, Los Angeles, CA, 90025",310-444-0702,310-757-8719,Evangelyn Nathan,Brian Thomas
West Valley,"19020 Vanowen St, Reseda, CA, 91335",818-374-7611,818-705-1566,John Egan,David Grimes
Wilshire,"4861 West Venice Blvd, Los Angeles, CA, 90019",213-473-0476,213-485-2112,Eric T. Davis,Howard Leslie
