FS_CD,SHP_ADDR,ADDRESS,ZIP,DEPTNAME,HSENO,PREF_DIR,STNAME,STTYPE,SUFF_DIR,UNITDESC,X_COORD,Y_COORD
52,Fire Station 52,4957 MELROSE AVE.,90029,FIRE,4957,,MELROSE,AVE,,,6468261.231336150318384,1853003.788363459985703
6,Fire Station 6,326 N. VIRGIL AVE.,90004,FIRE,326,N,VIRGIL,AVE,,,6474895.409996899776161,1850557.764712210046127
92,Fire Station 92,10556 W. PICO BLVD,90064,FIRE,10556,W,PICO,BLVD,,,6434222.006107640452683,1838657.473552210023627
57,Fire Station 57,7800 S. VERMONT AVE.,90044,FIRE,7800,S,VERMONT,AVE,,,6473368.792971399612725,1811143.988881130004302
100,Fire Station 100,6751 LOUISE AVE,91406,FIRE,6751,,LOUISE,AVE,,,6407434.927135970443487,1892973.604421050054953
24,Fire Station 24,9411 WENTWORTH ST,91040,FIRE,9411,,WENTWORTH,ST,,,6459832.458495560102165,1918632.387092869961634
81,Fire Station 81,14355 ARMINTA ST,91402,FIRE,14355,,ARMINTA,ST,,,6427351.432578469626606,1900317.932580129941925
67,Fire Station 67,5451 PLAYA VISTA DR,90094,FIRE,5451,,PLAYA VISTA,DR,,,6431749.167549399659038,1813274.918018209980801
36,Fire Station 36,1005 N GAFFEY ST,90732,FIRE,1005,N,GAFFEY,ST,,,6472461.731137230060995,1732654.193761300062761
5,Fire Station 5,8900 EMERSON AVE,90045,FIRE,6621,,EMERSON,AVE,,,6439249.111867059953511,1806487.338089470053092
8,Fire Station 8,11351 TAMPA AVE,91326,FIRE,11351,,TAMPA,AVE,,,6392819.000003069639206,1923584.999891039915383
9,Fire Station 9,430 E 7TH ST,90014,FIRE,430,E,7TH,ST,,,6486410.000156640075147,1837573.999997379956767
10,Fire Station 10,1335 S OLIVE ST,90015,FIRE,1335,S,OLIVE,ST,,,6481672.000118229538202,1836087.000018629943952
11,Fire Station 11,1819 W 7TH ST,90057,FIRE,1819,W,7TH,ST,,,6478720.000116740353405,1842668.999977960018441
12,Fire Station 12,5921 N FIGUEROA ST,90042,FIRE,5921,N,FIGUEROA,ST,,,6503928.999895480461419,1862802.000066220061854
13,Fire Station 13,2401 W PICO BLVD,90006,FIRE,2401,W,PICO,BLVD,,,6473433.999861990101635,1840328.000066800042987
14,Fire Station 14,3401 S CENTRAL AV,90011,FIRE,3401,S,CENTRAL,AVE,,,6483827.000073309987783,1827119.999908050056547
15,Fire Station 15,915 W JEFFERSON BLVD,90007,FIRE,915,W,JEFFERSON,BLVD,,,6475519.999955059960485,1831292.000094220042229
16,Fire Station 16,2011 N EASTERN AV,90032,FIRE,2011,N,EASTERN,AVE,,,6506975.000037060119212,1846514.000161960022524
17,Fire Station 17,1601 S SANTA FE AV,90021,FIRE,1601,S,SANTA FE,AVE,,,6491866.212669399566948,1831826.787410469958559
